sample_name_short,,OxicEvo04EcoliGlc_Broth-10,OxicEvo04EcoliGlc_Broth-11,OxicEvo04EcoliGlc_Broth-12,OxicEvo04EcoliGlc_Broth-4,OxicEvo04EcoliGlc_Broth-5,OxicEvo04EcoliGlc_Broth-6,OxicEvo04gndEcoliGlc_Broth-1,OxicEvo04gndEcoliGlc_Broth-2,OxicEvo04gndEcoliGlc_Broth-3,OxicEvo04gndEcoliGlc_Broth-7,OxicEvo04gndEcoliGlc_Broth-8,OxicEvo04gndEcoliGlc_Broth-9,OxicEvo04pgiEcoliGlc_Broth-1,OxicEvo04pgiEcoliGlc_Broth-2,OxicEvo04pgiEcoliGlc_Broth-3,OxicEvo04pgiEcoliGlc_Broth-4,OxicEvo04pgiEcoliGlc_Broth-5,OxicEvo04pgiEcoliGlc_Broth-6,OxicEvo04ptsHIcrrEcoliGlc_Broth-1,OxicEvo04ptsHIcrrEcoliGlc_Broth-2,OxicEvo04ptsHIcrrEcoliGlc_Broth-3,OxicEvo04ptsHIcrrEcoliGlc_Broth-4,OxicEvo04ptsHIcrrEcoliGlc_Broth-5,OxicEvo04ptsHIcrrEcoliGlc_Broth-6,OxicEvo04sdhCBEcoliGlc_Broth-1,OxicEvo04sdhCBEcoliGlc_Broth-2,OxicEvo04sdhCBEcoliGlc_Broth-3,OxicEvo04sdhCBEcoliGlc_Broth-4,OxicEvo04sdhCBEcoliGlc_Broth-5,OxicEvo04sdhCBEcoliGlc_Broth-6,OxicEvo04tpiAEcoliGlc_Broth-1,OxicEvo04tpiAEcoliGlc_Broth-2,OxicEvo04tpiAEcoliGlc_Broth-3,OxicEvo04tpiAEcoliGlc_Broth-4,OxicEvo04tpiAEcoliGlc_Broth-5,OxicEvo04tpiAEcoliGlc_Broth-6
btn.btn_1.Light,btn,0.000459187214953877,0.000444286686686081,0.000444505537757917,0.000459187214953877,0.000444286686686081,0.000444505537757917,0.000531937869033066,0.000430981341971221,0.0004140883622116,0.000531937869033066,0.000430981341971221,0.0004140883622116,0.00059177491028707,0.000528302873162666,0.000656742042308153,0.00059177491028707,0.000528302873162666,0.000656742042308153,0.00067864578183346,0.000584034718151327,0.000391680798622732,0.00067864578183346,0.000584034718151327,0.000391680798622732,0.000445924790061093,0.000462213866840483,0.000452476990735737,0.000445924790061093,0.000462213866840483,0.000452476990735737,0.000435072097623951,0.000422883498179849,0.000405269257188799,0.000435072097623951,0.000422883498179849,0.000405269257188799
camp.camp_1.Light,camp,0.0354745294138737,0.0218347913250353,0.0327109104889652,0.025741797411337,0.0184978837530487,0.0339056729206057,0.092596836668884,0.116544527691493,0.074598552626407,0.0780101598338449,0.112877706972363,0.0609994655426301,0.252541402873711,0.117424272520526,0.18787168991546,0.22292879285255,0.132542387237435,0.192593867476205,0.0854518207060081,0.0866141253354544,0.0569133053484548,0.0813028104567983,0.0999576342890851,0.0676848057956277,0.0391554741145709,0.0526220092208024,0.049903414917096,0.0385809646816718,0.039846707749426,0.0500587172371953,0.348027072517382,0.518603364061597,0.38311405863246,0.37320682491987,0.526381560044124,0.38608018866213
chor.chor_1.Light,chor,42.1680624199349,37.1967028999801,48.4174293873912,37.2395156967504,38.6610938337028,51.6567979874318,394.801631122081,408.202944942667,300.847571171244,447.007669937122,444.791058173483,403.118986585691,15.4322066212683,8.71779307885823,17.0708183487022,17.280692561219,9.90270941342566,17.3722046931025,119.705418782829,242.183798549152,84.2065322134438,113.395999136523,231.513982722159,104.505197756812,117.455804205574,110.156047709694,162.250076374172,109.865042198185,119.501708099148,138.742072227728,30.7494291319532,47.4714860300247,34.3743838405132,26.8498566111184,34.9229984303837,40.7360712817796
cit.cit_1.Light,cit,0.0183674885981551,0.0177714674674432,0.0177802215103167,0.0183674885981551,0.0177714674674432,0.0177802215103167,0.0212775147613226,0.0172392536788488,0.016563534488464,0.0212775147613226,0.0172392536788488,0.016563534488464,0.0236709964114828,0.0211321149265066,0.0262696816923261,0.0236709964114828,0.0211321149265066,0.0262696816923261,0.0271458312733384,0.0233613887260531,0.0156672319449093,0.0271458312733384,0.0233613887260531,0.0156672319449093,0.0178369916024437,0.0184885546736193,0.0180990796294295,0.0178369916024437,0.0184885546736193,0.0180990796294295,0.0174028839049581,0.016915339927194,0.016210770287552,0.0174028839049581,0.016915339927194,0.016210770287552
cit.cit_2.Light,cit,4.67135905441879,4.20724424486454,5.11367858497443,4.55350905060189,5.3359955205173,5.71648817354265,15.493777950645,15.1348106777597,8.02188574008311,15.9202220185178,11.7212484253641,9.19736618774058,5.54743096605896,1.5028352820262,5.59820277689253,4.6385106883192,3.35629959786569,3.40816347282211,6.10835802332012,7.65765940796426,4.18651577286197,5.74488534377301,7.05679157108221,4.03939945827962,4.35685605408834,2.94803911133569,3.21581540369753,3.01126135147696,2.7472541212384,2.81718457889545,22.3843052897603,18.8131908580674,28.6950168351555,43.0671809536238,46.3769077887429,32.9517938539839
citr-L.citr-L_1.Light,citr-L,0.139046861685572,0.163413686461321,0.0834064759191284,0.127466240023011,0.205068902596878,0.111650603599829,0.235182380318168,0.231962355514035,0.265507320232373,0.420337711042398,0.238653589524373,0.352299363084597,0.0989723405272677,0.166878515873157,0.0815969196437708,0.158328163516965,0.137206450511532,0.0924392165332593,0.105928699642199,0.303688380655688,0.07912823073603,0.104032743847534,0.228807468421255,0.133329143812257,0.135553596036297,0.0937490332038912,0.132571460206636,0.180172393077591,0.0934712898157345,0.10631638282178,0.060741829098525,0.165503674061937,0.124396358167919,0.0863929555793907,0.193374792522079,0.107890367868891
cmp.cmp_1.Light,cmp,0.167601801609616,0.224459507139519,0.221715087423892,0.268605733103118,0.19300804517812,0.251107728068546,0.152485887753482,0.188879716389101,0.124724524454945,0.216210159807774,0.142942485706042,0.121743588051674,0.110142688468046,0.232978418379612,0.208403262706502,0.146535042904324,0.235767929399101,0.167790828023439,0.218320222466354,0.3235644131295,0.170927202527715,0.261560486601159,0.343765419457499,0.19033502957604,0.154696522532989,0.237582984637925,0.159829538359609,0.194909325349875,0.177243943290272,0.22935211306734,0.113604363721081,0.133579666374016,0.131766970695487,0.121755315039446,0.124977890400744,0.191882859112067
coa.coa_1.Light,coa,1.72917174186095,1.5856106797836,1.9597367371886,1.77806429522061,2.11235916407484,1.67164251632385,2.71543113786657,2.13875642578462,2.16380246306408,2.55583080931612,2.23684351767376,2.59743340916675,1.59564184953639,2.38122628610547,2.42997338073027,1.47676142402661,2.2894467056914,2.94360875496371,1.55899555610307,1.65269877229772,1.25858108830995,1.8728260798663,1.76841740752911,1.49665071782245,0.868989012986964,1.18710032902605,1.31019180380091,1.16558046924648,1.09212007086108,1.3232205099804,2.04684695759305,1.78220160474721,1.10683948068531,2.15223566694355,2.02048739146377,1.29815098309321
ctp.ctp_1.Light,ctp,0.311575149760136,0.302333081935391,0.316119039292246,0.321640363153468,0.323018802162623,0.322154230553124,0.662561794973327,0.348486457706788,0.746068966725409,0.735646069708328,0.412132482880352,0.716760993718411,0.360995939197605,0.426692479148644,0.565434963679368,0.385721535309611,0.450613852037564,0.538710272054611,0.0533629581895485,0.0772204192352578,0.062279612733038,0.0342305199804997,0.121689663685294,0.0707330063839166,0.315937687002797,0.360028458068777,0.404281447505311,0.31285161053628,0.303102488499011,0.397643673397997,0.233754630791289,0.356697733348699,0.250556862328304,0.228083465563689,0.384944527976353,0.267265668411285
dadp.dadp_1.Light,dadp,0.0458526807309458,0.0521780636723933,0.0446565216397893,0.0543545209953237,0.0491831635489508,0.0372754627347653,0.0463103917239361,0.0378761815217098,0.026886836035188,0.0301260512018892,0.0342655387895253,0.0289504880393708,0.0615949323696985,0.0951402660848843,0.0814058700999532,0.0719057728199526,0.0921890072162328,0.0794353247963961,0.0525054349525394,0.0473283829085377,0.044773556159473,0.0506515613041604,0.0571109983115861,0.0468199124675982,0.0169375907319266,0.0208483260963291,0.0307014760150331,0.0127591920611185,0.024564388770422,0.0394379664563684,0.0790369562508577,0.0769905278609462,0.0666426136331351,0.0746123239214576,0.0761255492672642,0.0686950928965904
